Location,Latitude,Longitude
Acres Green,39.56,-104.9
Aetna Estates,39.74,-104.67
Aguilar town,37.4,-104.66
Air Force Academy,38.99,-104.86
Akron town,40.16,-103.22
Alamosa city,37.47,-105.88
Alamosa East,37.48,-105.84
Allenspark,40.21,-105.51
Alma town,39.29,-106.07
Alpine,37.69,-106.59
Altona,40.13,-105.29
Amherst,40.68,-102.17
Antonito town,37.08,-106.01
Applewood,39.75,-105.16
Arboles,37.02,-107.42
Aristocrat Ranchettes,40.11,-104.75
Arriba town,39.28,-103.27
Arvada city,39.83,-105.15
Aspen city,39.19,-106.84
Aspen Park,39.54,-105.3
Atwood,40.55,-103.27
Ault town,40.58,-104.73
Aurora city,39.71,-104.73
Avon town,39.64,-106.51
Avondale,38.24,-104.34
Bark Ranch,40.12,-105.44
Basalt town,39.37,-107.04
Battlement Mesa,39.45,-108.01
Bayfield town,37.24,-107.59
Bennett town,39.74,-104.43
Berkley,39.8,-105.03
Berthoud town,40.31,-105.04
Bethune town,39.3,-102.42
Beulah Valley,38.07,-104.98
Black Forest,39.06,-104.68
Black Hawk city,39.8,-105.49
Blanca town,37.44,-105.51
Blende,38.25,-104.57
Blue River town,39.44,-106.04
Blue Sky,40.3,-103.81
Bonanza Mountain Estates,39.98,-105.48
Bonanza town,38.3,-106.14
Boone town,38.25,-104.26
Boulder city,40.03,-105.25
Bow Mar town,39.63,-105.05
Brandon,38.45,-102.44
Branson town,37.02,-103.88
Breckenridge town,39.5,-106.04
Brick Center,39.6,-104.46
Brighton city,39.97,-104.8
Brookside town,38.41,-105.19
Broomfield city,39.95,-105.05
Brush city,40.26,-103.63
Buena Vista town,38.83,-106.14
Burlington city,39.3,-102.27
Byers,39.71,-104.22
Ca_on City city,38.44,-105.22
Calhan town,39.03,-104.3
Campo town,37.1,-102.58
Capulin,37.28,-106.1
Carbondale town,39.39,-107.21
Cascade-Chipita Park,38.94,-105
Castle Pines,39.44,-104.9
Castle Pines North city,39.46,-104.87
Castle Rock town,39.38,-104.85
